questionId,question,option1,option2,option3,option4,correct_answer,category
42,"What is the chemical symbol for magnesium?",Mg,Ma,Mn,Mo,A,science
43,"What is the chemical symbol for aluminum?",Al,Am,Ar,At,A,science
44,"What is the chemical symbol for zinc?",Zn,Ze,Zi,Zc,A,science
45,"What is the chemical symbol for lead?",Pb,Pl,Le,Ld,A,science
46,"What is the chemical symbol for mercury?",Hg,Me,Mg,Mn,A,science
47,"What is the chemical symbol for tin?",Sn,St,Ti,Tn,A,science
48,"What is the chemical symbol for nickel?",Ni,Nk,Ne,Nl,A,science
49,"What is the chemical symbol for cobalt?",Co,Cb,Co,Cu,A,science
50,"What is the chemical symbol for manganese?",Mn,Ma,Mg,Mo,A,science
51,"Ano ang tawag sa pambansang bayani ng Pilipinas?",Jose Rizal,Andres Bonifacio,Emilio Aguinaldo,Lapu-Lapu,A,filipino
52,"Ano ang pambansang hayop ng Pilipinas?",Kalabaw,Manok,Aso,Kabayo,A,filipino
53,"Ano ang pambansang ibon ng Pilipinas?",Maya,Agila,Lawin,Kalapati,A,filipino
54,"Ano ang pambansang bulaklak ng Pilipinas?",Sampaguita,Santan,Gumamela,Rose,A,filipino
55,"Ano ang pambansang puno ng Pilipinas?",Narra,Mahogany,Acacia,Molave,A,filipino
56,"Ano ang pambansang prutas ng Pilipinas?",Mangga,Saging,Orange,Apple,A,filipino
57,"Ano ang pambansang sayaw ng Pilipinas?",Tinikling,Cariñosa,Pandanggo,Maglalatik,A,filipino
58,"Ano ang pambansang laro ng Pilipinas?",Sipa,Arnis,Sepak Takraw,Patintero,A,filipino
59,"Ano ang pambansang damit ng Pilipinas?",Barong Tagalog,Baro't Saya,Kimona,Terno,A,filipino
60,"Ano ang pambansang pagkain ng Pilipinas?",Adobo,Sinigang,Kare-kare,Lechon,A,filipino
61,"Ano ang tawag sa pambansang wika ng Pilipinas?",Tagalog,Filipino,Pilipino,Bisaya,B,filipino
62,"Ano ang pambansang awit ng Pilipinas?",Lupang Hinirang,Bayan Ko,Pilipinas Kong Mahal,Ang Bayan Ko,A,filipino
63,"Ano ang pambansang motto ng Pilipinas?",Maka-Diyos,Maka-Tao,Maka-Kalikasan,Maka-Bayan,A,filipino
64,"Ano ang pambansang salawikain ng Pilipinas?",Ang hindi marunong lumingon sa pinanggalingan,Ang mabuting gawa ay nagmumula sa puso,Ang taong matapat ay may dangal,Ang buhay ay parang gulong,A,filipino
65,"Ano ang pambansang kasabihan ng Pilipinas?",Bayan o sarili,Utang na loob,Pakikipagkapwa-tao,Hiya,A,filipino
66,"Ano ang tawag sa pambansang bayani ng mga kababaihan?",Gabriela Silang,Melchora Aquino,Tandang Sora,Trinidad Tecson,A,filipino
67,"Ano ang pambansang bayani ng mga magsasaka?",Andres Bonifacio,Emilio Aguinaldo,Diego Silang,Macario Sakay,A,filipino
68,"Ano ang pambansang bayani ng mga manggagawa?",Andres Bonifacio,Emilio Aguinaldo,Diego Silang,Macario Sakay,A,filipino
69,"Ano ang pambansang bayani ng mga kabataan?",Jose Rizal,Andres Bonifacio,Emilio Aguinaldo,Lapu-Lapu,A,filipino
70,"Ano ang pambansang bayani ng mga guro?",Jose Rizal,Andres Bonifacio,Emilio Aguinaldo,Lapu-Lapu,A,filipino
71,"Ano ang pambansang bayani ng mga doktor?",Jose Rizal,Andres Bonifacio,Emilio Aguinaldo,Lapu-Lapu,A,filipino
72,"Ano ang pambansang bayani ng mga abogado?",Jose Rizal,Andres Bonifacio,Emilio Aguinaldo,Lapu-Lapu,A,filipino
73,"Ano ang pambansang bayani ng mga sundalo?",Andres Bonifacio,Emilio Aguinaldo,Diego Silang,Macario Sakay,A,filipino
74,"Ano ang pambansang bayani ng mga pulis?",Andres Bonifacio,Emilio Aguinaldo,Diego Silang,Macario Sakay,A,filipino
75,"Ano ang pambansang bayani ng mga bombero?",Andres Bonifacio,Emilio Aguinaldo,Diego Silang,Macario Sakay,A,filipino
76,"Ano ang pambansang bayani ng mga nurse?",Jose Rizal,Andres Bonifacio,Emilio Aguinaldo,Lapu-Lapu,A,filipino
77,"Ano ang pambansang bayani ng mga engineer?",Jose Rizal,Andres Bonifacio,Emilio Aguinaldo,Lapu-Lapu,A,filipino
78,"Ano ang pambansang bayani ng mga architect?",Jose Rizal,Andres Bonifacio,Emilio Aguinaldo,Lapu-Lapu,A,filipino
79,"Ano ang pambansang bayani ng mga artist?",Jose Rizal,Andres Bonifacio,Emilio Aguinaldo,Lapu-Lapu,A,filipino
80,"Ano ang pambansang bayani ng mga musician?",Jose Rizal,Andres Bonifacio,Emilio Aguinaldo,Lapu-Lapu,A,filipino
81,"What is the past tense of 'go'?",goed,went,gone,goes,B,english
82,"What is the plural form of 'child'?",childs,children,childes,child,B,english
83,"What is the comparative form of 'good'?",gooder,better,best,more good,B,english
84,"What is the superlative form of 'bad'?",badder,badest,worse,worst,D,english
85,"What is the past participle of 'write'?",wrote,written,writed,writing,B,english
86,"What is the present participle of 'run'?",ran,running,runned,runs,B,english
87,"What is the past tense of 'see'?",seed,saw,seen,seeing,B,english
88,"What is the plural form of 'man'?",mans,men,manes,man,B,english
89,"What is the comparative form of 'far'?",farrer,further,more far,farer,B,english
90,"What is the superlative form of 'little'?",littler,littlest,less,least,D,english
91,"What is the past participle of 'take'?",took,taken,taked,taking,B,english
92,"What is the present participle of 'swim'?",swam,swimming,swum,swims,B,english
93,"What is the past tense of 'come'?",comed,came,come,coming,B,english
94,"What is the plural form of 'woman'?",womans,women,womenes,woman,B,english
95,"What is the comparative form of 'much'?",mucher,more,most,much,B,english
96,"What is the superlative form of 'many'?",manyer,more,most,many,C,english
97,"What is the past participle of 'give'?",gave,given,gived,giving,B,english
98,"What is the present participle of 'drive'?",drove,driving,driven,drives,B,english
99,"What is the past tense of 'know'?",knowed,knew,known,knowing,B,english
100,"What is the plural form of 'foot'?",foots,feet,footes,foot,B,english
101,"If all roses are flowers and some flowers are red, what can we conclude?",All roses are red,Some roses are red,No roses are red,All red things are roses,B,logical_reasoning
102,"If A is taller than B and B is taller than C, then:",A is taller than C,A is shorter than C,A and C are the same height,We cannot determine,A,logical_reasoning
103,"If today is Monday, what day will it be in 3 days?",Tuesday,Wednesday,Thursday,Friday,C,logical_reasoning
104,"If 2 + 2 = 4 and 4 + 4 = 8, then 8 + 8 = ?",12,14,16,18,C,logical_reasoning
105,"If all doctors wear white coats and John is a doctor, then:",John wears a white coat,John might wear a white coat,John never wears a white coat,We cannot determine,A,logical_reasoning
106,"If a train leaves at 2 PM and arrives at 4 PM, how long was the journey?",1 hour,2 hours,3 hours,4 hours,B,logical_reasoning
107,"If every student in class passed the exam, and Maria is a student in that class, then:",Maria might have passed,Maria definitely passed,Maria failed,We cannot determine,B,logical_reasoning
108,"If all birds can fly and penguins are birds, then:",All penguins can fly,Some penguins can fly,No penguins can fly,We cannot determine,C,logical_reasoning
109,"If it rains, the ground gets wet. The ground is wet. Therefore:",It definitely rained,It might have rained,It did not rain,We cannot determine,B,logical_reasoning
110,"If all squares are rectangles and some rectangles are red, then:",All squares are red,Some squares are red,No squares are red,We cannot determine,B,logical_reasoning
111,"If A = 1, B = 2, C = 3, then D = ?",3,4,5,6,B,logical_reasoning
112,"If every car has wheels and this object has wheels, then:",This object is definitely a car,This object might be a car,This object is not a car,We cannot determine,B,logical_reasoning
113,"If all teachers are educated and Sarah is a teacher, then:",Sarah is definitely educated,Sarah might be educated,Sarah is not educated,We cannot determine,A,logical_reasoning
114,"If it takes 3 hours to paint a room and 2 people work together, how long will it take?",1 hour,1.5 hours,2 hours,3 hours,B,logical_reasoning
115,"If all mammals have hair and dolphins are mammals, then:",All dolphins have hair,Some dolphins have hair,No dolphins have hair,We cannot determine,A,logical_reasoning
116,"If every book has pages and this object has pages, then:",This object is definitely a book,This object might be a book,This object is not a book,We cannot determine,B,logical_reasoning
117,"If all doctors went to medical school and Dr. Smith is a doctor, then:",Dr. Smith definitely went to medical school,Dr. Smith might have gone to medical school,Dr. Smith did not go to medical school,We cannot determine,A,logical_reasoning
118,"If a clock shows 3:30, what time will it be in 2.5 hours?",5:00,5:30,6:00,6:30,C,logical_reasoning
119,"If all triangles have 3 sides and this shape has 3 sides, then:",This shape is definitely a triangle,This shape might be a triangle,This shape is not a triangle,We cannot determine,A,logical_reasoning
120,"If every house has a roof and this building has a roof, then:",This building is definitely a house,This building might be a house,This building is not a house,We cannot determine,B,logical_reasoning
121,"What is the result of 8 × 9?",63,64,71,72,D,math
122,"If a rectangle has perimeter 20 and length 6, what is the width?",2,4,6,8,B,math
123,"What is the value of 5² + 3²?",25,34,64,89,B,math
124,"If 4x = 20, what is x?",3,4,5,6,C,math
125,"What is 30% of 50?",10,15,20,25,B,math
126,"What is the area of a triangle with base 6 and height 8?",12,24,48,96,B,math
127,"What is the value of √100?",5,10,15,20,B,math
128,"If 2x + 3 = 11, what is x?",3,4,5,6,B,math
129,"What is the sum of angles in a triangle?",90°,180°,270°,360°,B,math
130,"What is the volume of a cylinder with radius 3 and height 4?",12π,24π,36π,48π,C,math
131,"What is the chemical symbol for hydrogen?",H,He,Hy,Hn,A,science
132,"What is the atomic number of oxygen?",6,8,10,12,B,science
133,"What is the chemical formula for carbon dioxide?",CO,CO2,O2,CO3,B,science
134,"What is the closest planet to the sun?",Earth,Mars,Mercury,Venus,C,science
135,"What is the chemical symbol for helium?",He,H,Hy,Hn,A,science
136,"What is the study of living organisms called?",Biology,Chemistry,Physics,Geology,A,science
137,"What is the chemical symbol for carbon?",C,Ca,Co,Cr,A,science
138,"What is the largest mammal on Earth?",Elephant,Blue whale,Giraffe,Rhinoceros,B,science
139,"What is the chemical symbol for phosphorus?",P,Ph,Po,Pr,A,science
140,"What is the study of matter and energy called?",Biology,Chemistry,Physics,Geology,C,science
141,"Ano ang tawag sa pambansang bayani ng mga magsasaka?",Andres Bonifacio,Emilio Aguinaldo,Diego Silang,Macario Sakay,A,filipino
142,"Ano ang pambansang bayani ng mga manggagawa?",Andres Bonifacio,Emilio Aguinaldo,Diego Silang,Macario Sakay,A,filipino
143,"Ano ang pambansang bayani ng mga kabataan?",Jose Rizal,Andres Bonifacio,Emilio Aguinaldo,Lapu-Lapu,A,filipino
144,"Ano ang pambansang bayani ng mga guro?",Jose Rizal,Andres Bonifacio,Emilio Aguinaldo,Lapu-Lapu,A,filipino
145,"Ano ang pambansang bayani ng mga doktor?",Jose Rizal,Andres Bonifacio,Emilio Aguinaldo,Lapu-Lapu,A,filipino
146,"Ano ang pambansang bayani ng mga abogado?",Jose Rizal,Andres Bonifacio,Emilio Aguinaldo,Lapu-Lapu,A,filipino
147,"Ano ang pambansang bayani ng mga sundalo?",Andres Bonifacio,Emilio Aguinaldo,Diego Silang,Macario Sakay,A,filipino
148,"Ano ang pambansang bayani ng mga pulis?",Andres Bonifacio,Emilio Aguinaldo,Diego Silang,Macario Sakay,A,filipino
149,"Ano ang pambansang bayani ng mga bombero?",Andres Bonifacio,Emilio Aguinaldo,Diego Silang,Macario Sakay,A,filipino
150,"Ano ang pambansang bayani ng mga nurse?",Jose Rizal,Andres Bonifacio,Emilio Aguinaldo,Lapu-Lapu,A,filipino
151,"What is the past tense of 'eat'?",eated,ate,eaten,eating,B,english
152,"What is the plural form of 'tooth'?",tooths,teeth,toothes,tooth,B,english
153,"What is the comparative form of 'big'?",bigger,biggest,more big,bigger,A,english
154,"What is the superlative form of 'small'?",smaller,smallest,more small,smallest,B,english
155,"What is the past participle of 'break'?",broke,broken,breaked,breaking,B,english
156,"What is the present participle of 'sing'?",sang,singing,sung,sings,B,english
157,"What is the past tense of 'buy'?",buyed,bought,buyen,buying,B,english
158,"What is the plural form of 'mouse'?",mouses,mice,mousies,mouse,B,english
159,"What is the comparative form of 'fast'?",faster,fastest,more fast,faster,A,english
160,"What is the superlative form of 'slow'?",slower,slowest,more slow,slowest,B,english
161,"If all cats are animals and some animals are pets, what can we conclude?",All cats are pets,Some cats are pets,No cats are pets,We cannot determine,B,logical_reasoning
162,"If X is greater than Y and Y is greater than Z, then:",X is greater than Z,X is less than Z,X equals Z,We cannot determine,A,logical_reasoning
163,"If today is Wednesday, what day was it yesterday?",Monday,Tuesday,Wednesday,Thursday,B,logical_reasoning
164,"If 3 × 3 = 9 and 9 × 3 = 27, then 27 × 3 = ?",54,81,90,108,B,logical_reasoning
165,"If all teachers have degrees and Mary is a teacher, then:",Mary definitely has a degree,Mary might have a degree,Mary does not have a degree,We cannot determine,A,logical_reasoning
166,"If a car travels 60 km in 2 hours, what is its speed?",20 km/h,30 km/h,60 km/h,120 km/h,B,logical_reasoning
167,"If every student in the class is present, and Tom is a student in that class, then:",Tom might be present,Tom is definitely present,Tom is absent,We cannot determine,B,logical_reasoning
168,"If all fish live in water and sharks are fish, then:",All sharks live in water,Some sharks live in water,No sharks live in water,We cannot determine,A,logical_reasoning
169,"If you study hard, you will pass the exam. You passed the exam. Therefore:",You definitely studied hard,You might have studied hard,You did not study hard,We cannot determine,B,logical_reasoning
170,"If all circles are round and some round objects are balls, then:",All circles are balls,Some circles are balls,No circles are balls,We cannot determine,B,logical_reasoning
171,"If A = 2, B = 4, C = 6, then D = ?",6,8,10,12,B,logical_reasoning
172,"If every computer has a keyboard and this device has a keyboard, then:",This device is definitely a computer,This device might be a computer,This device is not a computer,We cannot determine,B,logical_reasoning
173,"If all nurses are healthcare workers and Lisa is a nurse, then:",Lisa is definitely a healthcare worker,Lisa might be a healthcare worker,Lisa is not a healthcare worker,We cannot determine,A,logical_reasoning
174,"If it takes 4 hours to build a wall and 3 people work together, how long will it take?",1 hour,1.33 hours,2 hours,4 hours,B,logical_reasoning
175,"If all reptiles are cold-blooded and snakes are reptiles, then:",All snakes are cold-blooded,Some snakes are cold-blooded,No snakes are cold-blooded,We cannot determine,A,logical_reasoning
176,"If every phone has a screen and this device has a screen, then:",This device is definitely a phone,This device might be a phone,This device is not a phone,We cannot determine,B,logical_reasoning
177,"If all engineers studied mathematics and John is an engineer, then:",John definitely studied mathematics,John might have studied mathematics,John did not study mathematics,We cannot determine,A,logical_reasoning
178,"If a clock shows 9:15, what time will it be in 3.5 hours?",12:15,12:45,1:15,1:45,B,logical_reasoning
179,"If all squares have 4 equal sides and this shape has 4 equal sides, then:",This shape is definitely a square,This shape might be a square,This shape is not a square,We cannot determine,A,logical_reasoning
180,"If every building has a foundation and this structure has a foundation, then:",This structure is definitely a building,This structure might be a building,This structure is not a building,We cannot determine,B,logical_reasoning
181,"What is the result of 12 × 7?",72,74,82,84,D,math
182,"If a square has area 25, what is the length of one side?",3,4,5,6,C,math
183,"What is the value of 4³?",12,16,64,256,C,math
184,"If 5x = 35, what is x?",5,6,7,8,C,math
185,"What is 40% of 60?",18,24,30,36,B,math
186,"What is the perimeter of a rectangle with length 10 and width 6?",16,26,32,60,C,math
187,"What is the value of √64?",6,7,8,9,C,math
188,"If 3x - 2 = 13, what is x?",3,4,5,6,C,math
189,"What is the sum of angles in a quadrilateral?",180°,270°,360°,540°,C,math
190,"What is the area of a circle with radius 6?",12π,24π,36π,144π,C,math
191,"What is the chemical symbol for sulfur?",S,Su,Sl,Sr,A,science
192,"What is the atomic number of nitrogen?",5,6,7,8,C,science
193,"What is the chemical formula for methane?",CH,CH2,CH3,CH4,D,science
194,"What is the hottest planet in our solar system?",Earth,Mars,Mercury,Venus,D,science
195,"What is the chemical symbol for neon?",Ne,N,No,Nn,A,science
196,"What is the study of the Earth called?",Biology,Chemistry,Physics,Geology,D,science
197,"What is the chemical symbol for silicon?",Si,Sl,Sn,Sr,A,science
198,"What is the fastest land animal?",Cheetah,Lion,Leopard,Tiger,A,science
199,"What is the chemical symbol for argon?",Ar,Ag,An,At,A,science
200,"What is the study of the universe called?",Biology,Chemistry,Physics,Astronomy,D,science 
